"id","stage","negotiator_slot","role","role_observer","age","economic_status","sex","sex_man","participant_faculty","participant_engineering","treatment","attention_pass","analysis_include","iri_total","iri_total_z","iri_fs","iri_ec","iri_pt","iri_pd","faculty_negotiator","faculty_victim","negotiator_alignment","perp_outgroup","perp_control","victim_outgroup","same_group_harm","decision_accept","comparative_judgement","judgement","severity","condemnation"
4,1,1,"victim",0,45,2,1,0,1,0,1,TRUE,TRUE,2.78571428571429,1.29851563452412,2.42857142857143,3,2.71428571428571,3,2,1,"outgroup",1,0,0,0,1,3,-9,18,9
4,1,2,"victim",0,45,2,1,0,1,0,1,TRUE,TRUE,2.78571428571429,1.29851563452412,2.42857142857143,3,2.71428571428571,3,3,1,"control",0,1,0,,1,3,-9,18,9
4,5,2,"victim",0,45,2,1,0,1,0,1,TRUE,TRUE,2.78571428571429,1.29851563452412,2.42857142857143,3,2.71428571428571,3,2,1,"outgroup",1,0,0,0,1,2,-9,18,9
4,9,2,"observer",1,45,2,1,0,1,0,1,TRUE,TRUE,2.78571428571429,1.29851563452412,2.42857142857143,3,2.71428571428571,3,2,1,"outgroup",1,0,0,0,1,2,-9,18,9
4,10,1,"observer",1,45,2,1,0,1,0,1,TRUE,TRUE,2.78571428571429,1.29851563452412,2.42857142857143,3,2.71428571428571,3,1,2,"ingroup",0,0,1,0,1,1,-9,18,9
5,1,2,"observer",1,28,3,2,1,1,0,2,TRUE,TRUE,2.46428571428571,0.595617878625076,2.14285714285714,2.875,2.28571428571429,2.5,2,2,"outgroup",1,0,1,1,1,3,-1,10,1
5,2,1,"observer",1,28,3,2,1,1,0,2,TRUE,TRUE,2.46428571428571,0.595617878625076,2.14285714285714,2.875,2.28571428571429,2.5,3,2,"control",0,1,1,,1,1,-2,11,2
5,5,2,"observer",1,28,3,2,1,1,0,2,TRUE,TRUE,2.46428571428571,0.595617878625076,2.14285714285714,2.875,2.28571428571429,2.5,3,1,"control",0,1,0,,1,3,-4,13,4
5,6,1,"victim",0,28,3,2,1,1,0,2,TRUE,TRUE,2.46428571428571,0.595617878625076,2.14285714285714,2.875,2.28571428571429,2.5,3,1,"control",0,1,0,,1,1,-3,12,3
5,8,1,"victim",0,28,3,2,1,1,0,2,TRUE,TRUE,2.46428571428571,0.595617878625076,2.14285714285714,2.875,2.28571428571429,2.5,2,1,"outgroup",1,0,0,0,1,3,-2,11,2
5,8,2,"victim",0,28,3,2,1,1,0,2,TRUE,TRUE,2.46428571428571,0.595617878625076,2.14285714285714,2.875,2.28571428571429,2.5,1,1,"ingroup",0,0,0,1,1,3,-2,11,2
