"format","status","output_file","detail"
"docx","rendered","C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/report/tobit_analysis_report.docx",NA
"pdf","rendered","C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/report/tobit_analysis_report.pdf",NA
