"sample","rows","participants","mean_judgement","sd_judgement"
"All",4860,243,1.62263374485597,6.67355271826998
"Victim",2430,243,1.50411522633745,6.84244432933555
"Bystander",2430,243,1.74115226337449,6.49952288756798
