"rule","expected_mapping","rows_in_scope","rows_following_rule","status"
"target == 1","Judged actor = target code 1, counterpart = other code 2; judged decision is `decision_target`, counterpart decision is `decision_other`.",2430,2430,"PASS"
"target == 2","Judged actor = target code 2, counterpart = other code 1; judged decision is `decision_target`, counterpart decision is `decision_other`.",2430,2430,"PASS"
