"term_label","estimate","std_error","conf_low","conf_high","p_value_display"
"Intercept",10.1581654821391,3.36613165067297,3.56054744682008,16.7557835174581,"0.003**"
"Empathy: Fantasy",0.737305170688712,0.673634233641965,-0.58301792724954,2.05762826862696,"0.274"
"Empathy: Empathic concern",-0.705148970949095,0.860363361859608,-2.39146116019393,0.981163218295737,"0.412"
"Empathy: Perspective taking",-0.679818369267793,0.730866736715544,-2.11231717323026,0.752680434694673,"0.352"
"Empathy: Personal distress",-0.178452616591915,0.699229026456047,-1.54894150844577,1.19203627526194,"0.799"
"Bystander-victim outgroup vs ingroup",-1.98343504573779,1.95067881161905,-5.80676551651113,1.83989542503554,"0.309"
"Bystander-N1 outgroup vs ingroup",-0.271871861284588,1.92111607597975,-4.03725937020489,3.49351564763572,"0.887"
"Bystander-N2 outgroup vs ingroup",-1.35057473951703,1.83058804393612,-4.93852730563184,2.23737782659777,"0.461"
"Victim-N1 outgroup vs ingroup",-1.54339669304039,0.774154851601257,-3.06074020217885,-0.0260531839019273,"0.046*"
"Victim-N2 outgroup vs ingroup",-1.58930798639643,0.758539131591946,-3.07604468431664,-0.102571288476212,"0.036*"
"N1/N2 same faculty vs different",-0.104534337605312,0.564245153440367,-1.21045483834843,1.00138616313781,"0.853"
"Target accepted",-15.3840523004434,0.962378303018701,-17.27031377436,-13.4977908265267,"<0.001***"
"Other negotiator accepted",-4.30508897961693,0.665291367639952,-5.60906006019123,-3.00111789904262,"<0.001***"
"Age",0.184242460642491,0.0972586758932584,-0.00638454410829536,0.374869465393278,"0.058+"
"Socioeconomic status",0.168161274780208,0.247692525406894,-0.317316075017303,0.65363862457772,"0.497"
"Woman participant",0.0402715863535489,0.556886315579933,-1.05122559218312,1.13176876489022,"0.942"
"Participant faculty: Engineering vs Humanities",1.06388924370863,0.515719045311277,0.0530799148985253,2.07469857251873,"0.039*"
"Bystander-N1 outgroup vs ingroup x Bystander-N2 outgroup vs ingroup",-1.30688326715232,1.01134342612931,-3.28911638236577,0.675349848061126,"0.196"
"Victim-N1 outgroup vs ingroup x Victim-N2 outgroup vs ingroup",2.41002328292353,1.06894309732769,0.314894812161267,4.50515175368579,"0.024*"
"Empathy: Fantasy x Bystander-victim outgroup vs ingroup",-1.14310588464568,0.5070140957419,-2.13685351229981,-0.149358256991558,"0.024*"
"Empathy: Fantasy x Bystander-N1 outgroup vs ingroup",0.118532387748812,0.514543504132481,-0.889972880350851,1.12703765584847,"0.818"
"Empathy: Fantasy x Bystander-N2 outgroup vs ingroup",-0.133233811041312,0.58019192966174,-1.27040999317832,1.0039423710957,"0.818"
"Empathy: Empathic concern x Bystander-victim outgroup vs ingroup",0.697854965535604,0.811918637186867,-0.893505563350656,2.28921549442186,"0.390"
"Empathy: Empathic concern x Bystander-N1 outgroup vs ingroup",-0.0333120591657125,0.665818975591095,-1.33831725132426,1.27169313299283,"0.960"
"Empathy: Empathic concern x Bystander-N2 outgroup vs ingroup",-0.162270784166773,0.785938392404356,-1.70271003327931,1.37816846494576,"0.836"
"Empathy: Perspective taking x Bystander-victim outgroup vs ingroup",0.649498479595365,0.617747189237406,-0.56128601130995,1.86028297050068,"0.293"
"Empathy: Perspective taking x Bystander-N1 outgroup vs ingroup",0.542313461163772,0.662320952124394,-0.75583560500004,1.84046252732758,"0.413"
"Empathy: Perspective taking x Bystander-N2 outgroup vs ingroup",0.713546336672243,0.682476497249778,-0.624107597937323,2.05120027128181,"0.296"
"Empathy: Personal distress x Bystander-victim outgroup vs ingroup",0.605048606360841,0.608489350448645,-0.587590520518503,1.79768773324019,"0.320"
"Empathy: Personal distress x Bystander-N1 outgroup vs ingroup",-0.191386891247398,0.56669876233434,-1.3021164654227,0.919342682927908,"0.736"
"Empathy: Personal distress x Bystander-N2 outgroup vs ingroup",0.625695200744955,0.540636801865727,-0.433952930911869,1.68534333240178,"0.247"
"Target accepted x Other accepted",4.89117709777427,0.791392902279149,3.34004700930714,6.4423071862414,"<0.001***"
"Tobit log-scale",1.9279669255726,0.0502270215153161,1.82952196340258,2.02641188774262,"<0.001***"
