"term_label","estimate","std_error","conf_low","conf_high","p_value_display"
"Intercept",6.3695932414149,3.06032783942895,0.37135067613417,12.3678358066956,"0.037*"
"Empathy: Fantasy",0.191033241431071,0.359332186572181,-0.513257844250404,0.895324327112546,"0.595"
"Empathy: Empathic concern",-0.527167423154014,0.52246137809106,-1.55119172421249,0.496856877904463,"0.313"
"Empathy: Perspective taking",0.542458292029282,0.462384465921611,-0.363815261177075,1.44873184523564,"0.241"
"Empathy: Personal distress",0.387276935486376,0.426730371041803,-0.449114591755558,1.22366846272831,"0.364"
"Target accepted",-15.3552833755238,0.964270749479654,-17.245254044504,-13.4653127065437,"<0.001***"
"Other negotiator accepted",-4.26541854407415,0.659976142877981,-5.55897178411499,-2.9718653040333,"<0.001***"
"Age",0.181781117940199,0.0984018312629919,-0.0110864713352651,0.374648707215663,"0.065+"
"Socioeconomic status",0.195252903086332,0.243988469341661,-0.282964496823323,0.673470302995987,"0.424"
"Woman participant",0.0119404491813642,0.556384256438089,-1.07857269343729,1.10245359180002,"0.983"
"Participant faculty: Engineering vs Humanities",1.0482417101361,0.518443176518364,0.0320930841601099,2.0643903361121,"0.043*"
"Target accepted x Other accepted",4.83161794567786,0.764150176277238,3.33388360017447,6.32935229118124,"<0.001***"
"Tobit log-scale",1.93272122895723,0.0504802240396477,1.83377998983952,2.03166246807494,"<0.001***"
