"term_label","estimate","std_error","conf_low","conf_high","p_value_display"
"Intercept",10.1735448213276,3.37615379249177,3.55628338804368,16.7908062546114,"0.003**"
"Empathy: Fantasy",0.751826186826397,0.667458038310265,-0.556391568261723,2.06004394191452,"0.260"
"Empathy: Empathic concern",-0.725608869332889,0.848645435765655,-2.38895392343357,0.937736184767794,"0.393"
"Empathy: Perspective taking",-0.676723220940609,0.72977466549432,-2.10708156530948,0.753635123428259,"0.354"
"Empathy: Personal distress",-0.147151780812675,0.689755034523931,-1.49907164847958,1.20476808685423,"0.831"
"Bystander-victim outgroup vs ingroup",-1.92021112926717,1.93439576305972,-5.71162682486422,1.87120456632987,"0.321"
"Bystander-target outgroup vs ingroup",-1.27341723430658,1.81165136586541,-4.82425391140278,2.27741944278963,"0.482"
"Bystander-other outgroup vs ingroup",-0.382503138027267,1.80651189116024,-3.92326644470135,3.15826016864681,"0.832"
"Victim-target outgroup vs ingroup",-1.94138693708285,0.763494961899725,-3.43783706240631,-0.444936811759387,"0.011*"
"Victim-other outgroup vs ingroup",-1.21729481700293,0.735633337264635,-2.65913615804162,0.224546524035754,"0.098+"
"Target/other same faculty vs different",-0.110995414862283,0.56278416521007,-1.21405237867402,0.992061548949453,"0.844"
"Target accepted",-15.3816480453579,0.960754924846695,-17.2647276980574,-13.4985683926584,"<0.001***"
"Other negotiator accepted",-4.2674121509883,0.664331832822854,-5.5695025433211,-2.96532175865551,"<0.001***"
"Age",0.181747842197967,0.0970161973499499,-0.00840390460793519,0.371899589003868,"0.061+"
"Socioeconomic status",0.158547909205258,0.246415104912386,-0.324425696423019,0.641521514833535,"0.520"
"Woman participant",0.0549255506148517,0.555643177687009,-1.03413507765169,1.14398617888139,"0.921"
"Participant faculty: Engineering vs Humanities",1.07204387936547,0.515445148220735,0.0617713888528255,2.08231636987811,"0.038*"
"Bystander-target outgroup vs ingroup x Bystander-other outgroup vs ingroup",-1.28667557527682,1.012025548696,-3.27024565072098,0.696894500167341,"0.204"
"Victim-target outgroup vs ingroup x Victim-other outgroup vs ingroup",2.4371552026042,1.06195172795693,0.355729815808616,4.51858058939978,"0.022*"
"Empathy: Fantasy x Bystander-victim outgroup vs ingroup",-1.1301945589928,0.508851224799277,-2.12754295959938,-0.132846158386219,"0.026*"
"Empathy: Fantasy x Bystander-target outgroup vs ingroup",0.347509224776265,0.469930722480361,-0.573554991285242,1.26857344083777,"0.460"
"Empathy: Fantasy x Bystander-other outgroup vs ingroup",-0.380539937358474,0.450753343032661,-1.26401648970249,0.502936614985541,"0.399"
"Empathy: Empathic concern x Bystander-victim outgroup vs ingroup",0.665976563357645,0.809009424931909,-0.919681909508895,2.25163503622419,"0.410"
"Empathy: Empathic concern x Bystander-target outgroup vs ingroup",-0.531789591123403,0.562538431546431,-1.63436491695441,0.570785734707602,"0.344"
"Empathy: Empathic concern x Bystander-other outgroup vs ingroup",0.377526646278211,0.639666644430098,-0.876219976804781,1.6312732693612,"0.555"
"Empathy: Perspective taking x Bystander-victim outgroup vs ingroup",0.664473891038574,0.609735681278212,-0.530608044266721,1.85955582634387,"0.276"
"Empathy: Perspective taking x Bystander-target outgroup vs ingroup",0.802254232400852,0.558850787091524,-0.293093310298535,1.89760177510024,"0.151"
"Empathy: Perspective taking x Bystander-other outgroup vs ingroup",0.443643418218548,0.594606997655701,-0.721786297186626,1.60907313362372,"0.456"
"Empathy: Personal distress x Bystander-victim outgroup vs ingroup",0.596525983656534,0.605228593286716,-0.58972205918543,1.7827740264985,"0.324"
"Empathy: Personal distress x Bystander-target outgroup vs ingroup",0.491035353274317,0.444104441435319,-0.379409351938908,1.36148005848754,"0.269"
"Empathy: Personal distress x Bystander-other outgroup vs ingroup",-0.0837009612107162,0.494483199715258,-1.05288803265262,0.88548611023119,"0.866"
"Target accepted x Other accepted",4.88351211798705,0.7926113530102,3.32999386608706,6.43703036988704,"<0.001***"
"Tobit log-scale",1.92673872426818,0.0501576849923508,1.82842966168317,2.02504778685319,"<0.001***"
