"","Fantasy","Empathic Concern","Perspective Taking","Personal Distress","Mean Judgment"
"Fantasy",1,0.475893512521381,0.524048788650773,0.490124867892544,-0.0618218757804246
"Empathic Concern",0.475893512521381,1,0.401789184227056,0.597609682809667,-0.150304364988165
"Perspective Taking",0.524048788650773,0.401789184227056,1,0.26475418181849,0.00756363203219369
"Personal Distress",0.490124867892544,0.597609682809667,0.26475418181849,1,-0.00309484051157796
"Mean Judgment",-0.0618218757804246,-0.150304364988165,0.00756363203219369,-0.00309484051157796,1
