"negotiator_alignment","role","Observations","MeanJudgement","SDJudgement","SEJudgement","Lower95","Upper95"
"ingroup","victim",95,-3.97894736842105,4.84214421329093,0.496793514051089,-4.95266265596119,-3.00523208088092
"outgroup","victim",97,-3.28865979381443,5.27762328706184,0.535861456553813,-4.33894824865991,-2.23837133896896
"control","victim",104,-3.74038461538462,5.5929831078602,0.548437115503346,-4.81532136177117,-2.66544786899806
"ingroup","observer",92,-2.68478260869565,5.05557976550746,0.527080626261796,-3.71786063616877,-1.65170458122253
"outgroup","observer",80,-2.9125,5.40556148209498,0.604360146525944,-4.09704588719085,-1.72795411280915
"control","observer",101,-2.47524752475248,5.72292592893869,0.569452413611105,-3.59137425543024,-1.35912079407471
