"Scale","Mean","SD","Min","Max"
"IRI composite (mean subscale)",2.22160983735058,0.452689342355026,0,4
"Fantasy (FS)",2.02351557907113,0.81366497901942,0,4
"Empathic concern (EC)",2.67078189300412,0.632830301241162,0,4
"Perspective taking (PT)",2.59945130315501,0.656328865639343,0,4
"Personal distress (PD)",1.59269057417206,0.676986213675675,0,4
