"term_label","estimate","std_error","conf_low","conf_high","p_value_display"
"Intercept",7.87171133637873,2.74203937564741,2.49731416010981,13.2461085126476,"0.004**"
"Empathy: Fantasy",0.440961898245979,0.375136780981052,-0.294306192476882,1.17622998896884,"0.240"
"Empathy: Empathic concern",-0.164751259528817,0.583890165235419,-1.30917598339024,0.979673464332604,"0.778"
"Empathy: Perspective taking",0.956306527543731,0.46212995070303,0.0505318241657918,1.86208123092167,"0.039*"
"Empathy: Personal distress",-0.358251152127929,0.450164094179462,-1.24057277671967,0.524070472463816,"0.426"
"Target accepted",-16.9162415420099,1.07152438778318,-19.0164293420649,-14.8160537419548,"<0.001***"
"Other negotiator accepted",-3.87960244433773,0.698247121093317,-5.24816680168063,-2.51103808699482,"<0.001***"
"Age",0.0192477708476428,0.100819640297894,-0.178358724136229,0.216854265831515,"0.849"
"Socioeconomic status",0.240250552284091,0.266847176981763,-0.282769914600165,0.763271019168347,"0.368"
"Woman participant",0.436981586061233,0.576300402639967,-0.692567203113103,1.56653037523557,"0.448"
"Participant faculty: Engineering vs Humanities",1.37037529535129,0.608688922312719,0.177345007618357,2.56340558308421,"0.024*"
"Target accepted x Other accepted",4.48652173536535,0.766532592917594,2.98411785324686,5.98892561748383,"<0.001***"
"Tobit log-scale",2.02716242143895,0.051284637460415,1.92664453201654,2.12768031086136,"<0.001***"
