"hypothesis_id","hypothesis_family_id","hypothesis_statement","hypothesis_family_statement","short_label","hypothesis_family_label","data_path","approach","model_suffix","output_prefix","term","canonical_term","label","estimate","p_value","symbol"
"H1","H1","Higher empathy predicts lower moral-judgment scores for harmful decisions after conditioning on judged-negotiator, counterpart, and observer-side victim relational controls.","Higher empathy predicts lower moral-judgment scores for harmful decisions after conditioning on judged-negotiator, counterpart, and observer-side victim relational controls.","H1: Empathy under relational controls","H1: Empathy under relational controls","C:/Users/diego/Documents/GitHub/TOBIT2/data/processed/judgments_accept_only.csv","Tobit","B","H1_B","iri_ec","iri_ec","Empathy: Empathic concern",-2.57279964808417,0.0234559248897262,"*"
"H1","H1","Higher empathy predicts lower moral-judgment scores for harmful decisions after conditioning on judged-negotiator, counterpart, and observer-side victim relational controls.","Higher empathy predicts lower moral-judgment scores for harmful decisions after conditioning on judged-negotiator, counterpart, and observer-side victim relational controls.","H1: Empathy under relational controls","H1: Empathy under relational controls","C:/Users/diego/Documents/GitHub/TOBIT2/data/processed/judgments_accept_only.csv","Tobit","B","H1_B","iri_pt","iri_pt","Empathy: Perspective taking",1.72212177382368,0.0447299495171333,"*"
"H3","H3","The empathy effect may vary according to whether the judged negotiator is ingroup, outgroup, or control, while decision outcome and the additional relational controls remain explicitly modeled.","The empathy effect may vary across judged-negotiator relational status, while decision outcome and relational controls remain in the model.","H3: Empathy x judged-status moderation","H3: Empathy x judged-status moderation","C:/Users/diego/Documents/GitHub/TOBIT2/data/processed/judgments_analysis.csv","Tobit","B","H3_B","iri_ec:judged_outgroup","iri_ec:judged_outgroup","Empathic concern x judged negotiator outgroup",-1.65792742308327,0.0250596075438563,"*"
"H3","H3","The empathy effect may vary according to whether the judged negotiator is ingroup, outgroup, or control, while decision outcome and the additional relational controls remain explicitly modeled.","The empathy effect may vary across judged-negotiator relational status, while decision outcome and relational controls remain in the model.","H3: Empathy x judged-status moderation","H3: Empathy x judged-status moderation","C:/Users/diego/Documents/GitHub/TOBIT2/data/processed/judgments_analysis.csv","Tobit","B","H3_B","iri_pd:judged_outgroup","iri_pd:judged_outgroup","Personal distress x judged negotiator outgroup",2.04702696307484,0.00200020066117329,"**"
