"figure_file","created","panel_variables","panel_count","sparse_panels","empty_panels","note"
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_judgement_distribution_by_role_and_target.png",TRUE,"role_panel x target_identity",4,0,0,"Role source: role_label; target code source: target_code_label; pre-plot audit: descriptive_preplot_judgement_by_role_and_target_variable_counts.csv + descriptive_preplot_judgement_by_role_and_target_panel_counts.csv. Panels=4; sparse=0; empty=0"
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_judgement_distribution_by_role_and_target_decision.png",TRUE,"role_panel x target_decision_only",4,0,0,"Role source: role_label; target decision source: decision_target_label; pre-plot audit: descriptive_preplot_judgement_by_role_and_target_decision_variable_counts.csv + descriptive_preplot_judgement_by_role_and_target_decision_panel_counts.csv. Panels=4; sparse=0; empty=0"
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_judgement_distribution_by_role_and_other_decision.png",TRUE,"role_panel x other_decision_only",4,0,0,"Role source: role_label; other decision source: decision_other_label; pre-plot audit: descriptive_preplot_judgement_by_role_and_other_decision_variable_counts.csv + descriptive_preplot_judgement_by_role_and_other_decision_panel_counts.csv. Panels=4; sparse=0; empty=0"
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_judgement_distribution_by_role_and_decision_pattern.png",TRUE,"role_panel x decision_pattern_clean",8,0,0,"Role source: role_label; decision pattern source: decision_pattern; target decision source: decision_target_label; other decision source: decision_other_label; pre-plot audit: descriptive_preplot_judgement_by_role_and_decision_pattern_variable_counts.csv + descriptive_preplot_judgement_by_role_and_decision_pattern_panel_counts.csv. Panels=8; sparse=0; empty=0"
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_judgement_distribution_victim_target_other_faculty_grid.png",TRUE,"target_faculty_panel x other_faculty_panel",9,0,0,"Panels=9; sparse=0; empty=0"
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_judgement_distribution_bystander_target_other_faculty_grid.png",TRUE,"target_faculty_panel x other_faculty_panel",9,0,0,"Panels=9; sparse=0; empty=0"
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_judgement_distribution_victim_group_grid.png",TRUE,"victim_target_group x victim_other_group",4,0,0,"Optional block F. Panels=4; sparse=0; empty=0"
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_judgement_distribution_bystander_target_other_group_grid.png",TRUE,"bystander_target_group x bystander_other_group",4,0,0,"Optional block F. Panels=4; sparse=0; empty=0"
"C:/Users/LEONA/Documents/GitHub/TOBIT/outputs/figures/figure_judgement_distribution_bystander_victim_target_other_group_grid.png",TRUE,"victim_target_group x victim_other_group",4,0,0,"Optional block F. Panels=4; sparse=0; empty=0"
"__row_integrity_check__",TRUE,"source_row_number",NA,NA,NA,"No row duplication introduced. Rows/unique source rows: analysis 4860/4860; victim 2430/2430; bystander 2430/2430."
