"Subscale","Pearson_r","P_value","CI_low","CI_high"
"iri_total",0.00800590413754275,0.785328571523429,-0.0495743356011073,0.0655331024844912
"iri_fs",0.00534572516829469,0.855681730156347,-0.0522277405119847,0.0628837726452265
"iri_ec",-0.091874393715331,0.00173393889761398,-0.14864574339947,-0.0344994325343889
"iri_pt",0.0418827831949089,0.153994287368768,-0.0157124902733893,0.0992010387630928
"iri_pd",0.0612639796646413,0.0369526997098715,0.00371970011843521,0.118403860482614
