"estimate","std_error","naive_se","statistic","p_value","term","conf_low","conf_high","pretty_term","hypothesis","role","variant","model_family","session_handling","dependence_adjustment","formula","p_symbol","p_value_display"
7.96567876655409,2.82325379885609,1.62429228329678,2.82145330674188,0.00478065964591887,"(Intercept)",2.43210132079616,13.499256212312,"Intercept","H2","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ bystander_victim_group + bystander_target_group + bystander_other_group + victim_target_group + victim_other_group + bystander_target_group:bystander_other_group + victim_target_group:victim_other_group + target_other_same_faculty + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","**","0.005**"
0.279316071956802,0.342042369572107,0.30707758934271,0.816612492499759,0.414149913658174,"bystander_victim_groupoutgroup",-0.391086972404528,0.949719116318132,"Bystander-victim outgroup vs ingroup","H2","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ bystander_victim_group + bystander_target_group + bystander_other_group + victim_target_group + victim_other_group + bystander_target_group:bystander_other_group + victim_target_group:victim_other_group + target_other_same_faculty + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","","0.414"
0.789764944956468,0.751894724529316,0.760173219369707,1.05036638666518,0.293549693651738,"bystander_target_groupoutgroup",-0.683948715120992,2.26347860503393,"Bystander-target outgroup vs ingroup","H2","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ bystander_victim_group + bystander_target_group + bystander_other_group + victim_target_group + victim_other_group + bystander_target_group:bystander_other_group + victim_target_group:victim_other_group + target_other_same_faculty + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","","0.294"
0.798019041432484,0.754489513001215,0.760142143362623,1.05769401387452,0.290194965235822,"bystander_other_groupoutgroup",-0.680780404049897,2.27681848691486,"Bystander-other outgroup vs ingroup","H2","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ bystander_victim_group + bystander_target_group + bystander_other_group + victim_target_group + victim_other_group + bystander_target_group:bystander_other_group + victim_target_group:victim_other_group + target_other_same_faculty + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","","0.290"
-1.92739768702139,0.769282228254688,0.766699129710398,-2.50544938675391,0.0122295900140464,"victim_target_groupoutgroup",-3.43519085440058,-0.419604519642203,"Victim-target outgroup vs ingroup","H2","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ bystander_victim_group + bystander_target_group + bystander_other_group + victim_target_group + victim_other_group + bystander_target_group:bystander_other_group + victim_target_group:victim_other_group + target_other_same_faculty + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","*","0.012*"
-1.20604492294744,0.739129883320207,0.767484484555731,-1.63170905434079,0.102740791751259,"victim_other_groupoutgroup",-2.65473949425504,0.242649648360169,"Victim-other outgroup vs ingroup","H2","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ bystander_victim_group + bystander_target_group + bystander_other_group + victim_target_group + victim_other_group + bystander_target_group:bystander_other_group + victim_target_group:victim_other_group + target_other_same_faculty + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","","0.103"
-0.185850942162982,0.574441627511534,0.523743717862385,-0.323533207313132,0.746291462824338,"target_other_same_facultysame",-1.31175653208559,0.940054647759624,"Target/other same faculty vs different","H2","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ bystander_victim_group + bystander_target_group + bystander_other_group + victim_target_group + victim_other_group + bystander_target_group:bystander_other_group + victim_target_group:victim_other_group + target_other_same_faculty + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","","0.746"
-15.3793881834324,0.967443860122687,0.456362418205471,-15.8969308890772,6.6546001848989e-57,"accept_target",-17.2755781492729,-13.483198217592,"Target accepted","H2","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ bystander_victim_group + bystander_target_group + bystander_other_group + victim_target_group + victim_other_group + bystander_target_group:bystander_other_group + victim_target_group:victim_other_group + target_other_same_faculty + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","***","<0.001***"
-4.2618342021457,0.665703393954423,0.448260957927955,-6.40200161340545,1.53353046152539e-10,"accept_other",-5.56661285429637,-2.95705554999503,"Other negotiator accepted","H2","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ bystander_victim_group + bystander_target_group + bystander_other_group + victim_target_group + victim_other_group + bystander_target_group:bystander_other_group + victim_target_group:victim_other_group + target_other_same_faculty + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","***","<0.001***"
0.169095873341475,0.0956981704268693,0.0522520518537011,1.76697080610015,0.0772331176043742,"age",-0.0184725406951889,0.356664287378139,"Age","H2","Bystander","primary","Two-sided Tobit","factor_session_fixed_effect","cluster_robust_id","survival::Surv(lower_endpoint, upper_endpoint, type = ""interval2"") ~ bystander_victim_group + bystander_target_group + bystander_other_group + victim_target_group + victim_other_group + bystander_target_group:bystander_other_group + victim_target_group:victim_other_group + target_other_same_faculty + accept_target * accept_other + age + ses + sex_female + faculty_player_factor + factor(session)","+","0.077+"
