"term","estimate","std_error","naive_se","z_value","p_value","conf_low","conf_high","label","label_short","approach","inference","p_symbol","p_value_display"
"(Intercept)",6.96305060972287,2.57473312014047,1.72328723172674,2.70437761306422,0.00684324733023116,1.91657369424756,12.0095275251982,"Intercept","Intercept","Tobit","Cluster-robust standard errors by participant id","**","0.007**"
"iri_total",-0.729334108475508,0.646523733467801,0.563478258161463,-1.12808559179031,0.259283773449695,-1.9965206260724,0.537852409121383,"Empathy composite (average)","Emp","Tobit","Cluster-robust standard errors by participant id","","0.259"
"judged_outgroup",-1.09344042632405,1.49680625880604,1.78074578380119,-0.73051566954046,0.465075038443935,-4.02718069358389,1.8402998409358,"Judged negotiator outgroup (ref = ingroup)","JN Out","Tobit","Cluster-robust standard errors by participant id","","0.465"
"judged_control",-4.0779530548237,1.57557496803949,1.79390370553171,-2.58823168528627,0.00964700706652513,-7.1660799921811,-0.989826117466302,"Judged negotiator control label hidden (ref = ingroup)","JN Ctl","Tobit","Cluster-robust standard errors by participant id","**","0.010**"
"decision_accept",-13.1587445779451,0.883298790094371,0.518205408796238,-14.8972745411994,3.43299945346882e-50,-14.89001020653,-11.4274789493601,"Negotiator accepted harmful deal","Acc","Tobit","Cluster-robust standard errors by participant id","***","<0.001***"
"counterpart_outgroup",-0.286324598944053,0.35801792890523,0.359533707834895,-0.79974933048631,0.42385604540981,-0.988039739598304,0.415390541710198,"Counterpart negotiator outgroup (ref = ingroup)","CN Out","Tobit","Cluster-robust standard errors by participant id","","0.424"
"counterpart_control",0.429624918236573,0.350974763344995,0.356905991879366,1.22409062732031,0.220918041370535,-0.258285617919618,1.11753545439276,"Counterpart negotiator control label hidden (ref = ingroup)","CN Ctl","Tobit","Cluster-robust standard errors by participant id","","0.221"
"observer_victim_outgroup",-0.125262064630318,0.329738035782562,0.292326898585918,-0.379883577376919,0.704031838479578,-0.77154861476414,0.521024485503503,"Observer-side victim outgroup (ref = ingroup victim)","V Out (Obs)","Tobit","Cluster-robust standard errors by participant id","","0.704"
"participant_engineering",1.17573284034098,0.482979071870616,0.306711205850474,2.43433496152799,0.0149191816945803,0.229093859474572,2.12237182120739,"Engineering participant (ref = humanities)","Eng part.","Tobit","Cluster-robust standard errors by participant id","*","0.015*"
"sex_man",-0.169810197219237,0.499211126167561,0.311524275677538,-0.340157076471568,0.733738240829489,-1.14826400450766,0.808643610069183,"Man (ref = woman)","Man","Tobit","Cluster-robust standard errors by participant id","","0.734"
"age",0.155075942635551,0.0977209139045765,0.0496796202694282,1.58692685566757,0.112529211692418,-0.0364570486174192,0.346608933888521,"Age","Age","Tobit","Cluster-robust standard errors by participant id","","0.113"
"economic_status",0.0915968441958311,0.22281319626346,0.140707166193132,0.411092546275961,0.681004675301232,-0.34511702048055,0.528310708872212,"Socioeconomic status","SES","Tobit","Cluster-robust standard errors by participant id","","0.681"
"factor(negotiator_slot)2",0.36307676382671,0.285991832952126,0.290870608699879,1.26953542721441,0.204250163365082,-0.197467228759458,0.923620756412877,"Negotiator 2 (ref = negotiator 1)","Slot 2","Tobit","Cluster-robust standard errors by participant id","","0.204"
"judged_outgroup:decision_accept",-0.262285631124748,0.721945431072446,0.719889599635182,-0.363303956000004,0.716377838492425,-1.67729867602674,1.15272741377725,"Accepted harmful deal x judged negotiator outgroup","Acc x JN Out","Tobit","Cluster-robust standard errors by participant id","","0.716"
"judged_control:decision_accept",0.392795713802547,0.715354576971663,0.713112139197648,0.549092333294886,0.58294208635042,-1.00929925706191,1.79489068466701,"Accepted harmful deal x judged negotiator control label hidden","Acc x JN Ctl","Tobit","Cluster-robust standard errors by participant id","","0.583"
"iri_total:judged_outgroup",0.386963796413794,0.64300078945345,0.775897499209429,0.601809208885595,0.547301144529573,-0.873317750914968,1.64724534374255,"Empathy x judged negotiator outgroup","Emp x JN Out","Tobit","Cluster-robust standard errors by participant id","","0.547"
"iri_total:judged_control",1.70609320380434,0.700343133027646,0.775958193361652,2.43608186237045,0.0148473239913675,0.333420663070156,3.07876574453853,"Empathy x judged negotiator control label hidden","Emp x JN Ctl","Tobit","Cluster-robust standard errors by participant id","*","0.015*"
"Log(scale)",1.92371535416333,0.0481512141019172,0.0201232903073532,39.9515441104264,0,1.82933897452357,2.01809173380309,"Scale variance (log)","Log(scale)","Tobit","Cluster-robust standard errors by participant id","***","<0.001***"
