"term","estimate","std_error","naive_se","z_value","p_value","conf_low","conf_high","label","label_short","approach","inference","p_symbol","p_value_display"
"bystander_victim_groupOut:bystander_N1_groupIn",1.25625138080263,1.21149202840968,NA,1.03694564334171,0.299761190450479,-1.11827299488035,3.63077575648561,"Bystander-N1: Ingroup (ref = Control) x Bystander-victim: Outgroup (ref = Ingroup)","B-N1 In x B-V Out","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.300"
"bystander_victim_groupOut:bystander_N2_groupIn",1.66481431364025,1.19800639558922,NA,1.3896539448952,0.164633986277893,-0.683278221714635,4.01290684899513,"Bystander-N2: Ingroup (ref = Control) x Bystander-victim: Outgroup (ref = Ingroup)","B-N2 In x B-V Out","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.165"
"victim_N1_groupIn:victim_N2_groupIn",1.01854759901948,1.04722587481855,NA,0.972615004567143,0.33074468246621,-1.03401511562488,3.07111031366384,"Victim-N1: Ingroup (ref = Control) x Victim-N2: Ingroup (ref = Control)","V-N1 In x V-N2 In","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.331"
"victim_N1_groupOut:victim_N2_groupIn",-1.49950077121459,1.04013228503543,NA,-1.441644291585,0.149402746731604,-3.53816004988403,0.539158507454856,"Victim-N1: Outgroup (ref = Control) x Victim-N2: Ingroup (ref = Control)","V-N1 Out x V-N2 In","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.149"
"iri_fs:bystander_victim_groupOut",-0.622471685572052,0.396171737893343,NA,-1.57121678815876,0.116132301817434,-1.398968291843,0.1540249206989,"Bystander-victim: Outgroup (ref = Ingroup) x Empathy: Fantasy scale","B-V Out x FS","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.116"
"iri_ec:bystander_victim_groupOut",0.489799543937926,0.589240339138038,NA,0.831238989262722,0.405838633045047,-0.665111520772628,1.64471060864848,"Bystander-victim: Outgroup (ref = Ingroup) x Empathy: Empathic concern","B-V Out x EC","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.406"
"iri_pt:bystander_victim_groupOut",-0.15178073957345,0.53453515916697,NA,-0.283949029302371,0.77644944220004,-1.19946965154071,0.895908172393812,"Bystander-victim: Outgroup (ref = Ingroup) x Empathy: Perspective taking","B-V Out x PT","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.776"
"iri_pd:bystander_victim_groupOut",0.878857637149826,0.475168957824566,NA,1.8495687116714,0.064375735873108,-0.052473520186323,1.81018879448597,"Bystander-victim: Outgroup (ref = Ingroup) x Empathy: Personal distress","B-V Out x PD","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","+","0.064+"
"iri_fs:bystander_N1_groupIn",0.0550653360537528,0.484051952479838,NA,0.113759144595221,0.90942872616936,-0.89367649080673,1.00380716291424,"Bystander-N1: Ingroup (ref = Control) x Empathy: Fantasy scale","B-N1 In x FS","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.909"
"iri_fs:bystander_N1_groupOut",-0.976768571885533,0.47342695567802,NA,-2.0631874889478,0.0390948183472523,-1.90468540501445,-0.0488517387566144,"Bystander-N1: Outgroup (ref = Control) x Empathy: Fantasy scale","B-N1 Out x FS","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","*","0.039*"
