"term","estimate","std_error","naive_se","z_value","p_value","conf_low","conf_high","label","label_short","approach","inference","p_symbol","p_value_display"
"(Intercept)",-3.4840540633071,2.68468760164053,2.11934555075154,-1.29775027127108,0.194373162856535,-8.74604176252254,1.77793363590834,"Intercept","Intercept","Tobit","Cluster-robust standard errors by participant id","","0.194"
"iri_fs",-0.688939797781511,0.581949290159325,0.418344443490281,-1.18384850610075,0.236473037091085,-1.82956040649379,0.451680810930765,"Empathy: Fantasy scale","FS","Tobit","Cluster-robust standard errors by participant id","","0.236"
"iri_ec",-2.58554287555509,0.809410717714329,0.538578241059754,-3.19435216135552,0.00140145044744221,-4.17198788227517,-0.999097868835003,"Empathy: Empathic concern","EC","Tobit","Cluster-robust standard errors by participant id","**","0.001**"
"iri_pt",0.938423418674569,0.537133872174799,0.427334266873396,1.74709409941881,0.0806210167639523,-0.114358970788038,1.99120580813718,"Empathy: Perspective taking","PT","Tobit","Cluster-robust standard errors by participant id","+","0.081+"
"iri_pd",1.66360973679364,0.645825459374228,0.476981210679942,2.57594325625625,0.00999670502987406,0.397791836420152,2.92942763716713,"Empathy: Personal distress","PD","Tobit","Cluster-robust standard errors by participant id","**","0.010**"
"h2_negstruct_j_out_c_in",-2.19742055068279,1.28405197853584,1.19784514826034,-1.71131744463213,0.0870225277512795,-4.71416242861304,0.319321327247463,"Negotiator-side structure: judged negotiator outgroup, counterpart negotiator ingroup (ref = judged negotiator ingroup, counterpart negotiator ingroup)","JN Out, CN In","Tobit","Cluster-robust standard errors by participant id","+","0.087+"
"h2_negstruct_j_cont_c_in",1.23468984344787,1.19695704189194,1.24719623958842,1.03152393965309,0.302295187786062,-1.11134595866032,3.58072564555607,"Negotiator-side structure: judged negotiator control label hidden, counterpart negotiator ingroup (ref = judged negotiator ingroup, counterpart negotiator ingroup)","JN Ctl, CN In","Tobit","Cluster-robust standard errors by participant id","","0.302"
"h2_negstruct_j_in_c_out",-1.0348758565995,1.31387598041496,1.20164044605896,-0.787651096470045,0.430900818026968,-3.61007277821282,1.54032106501382,"Negotiator-side structure: judged negotiator ingroup, counterpart negotiator outgroup (ref = judged negotiator ingroup, counterpart negotiator ingroup)","JN In, CN Out","Tobit","Cluster-robust standard errors by participant id","","0.431"
"h2_negstruct_j_out_c_out",-0.488779569549393,1.4500917579005,1.28976096933414,-0.33706802820331,0.736065618346971,-3.33095941503437,2.35340027593559,"Negotiator-side structure: judged negotiator outgroup, counterpart negotiator outgroup (ref = judged negotiator ingroup, counterpart negotiator ingroup)","JN Out, CN Out","Tobit","Cluster-robust standard errors by participant id","","0.736"
"h2_negstruct_j_cont_c_out",-0.147205469184862,1.40706823607308,1.19405698860143,-0.104618571730175,0.916678477466537,-2.9050592118881,2.61064827351837,"Negotiator-side structure: judged negotiator control label hidden, counterpart negotiator outgroup (ref = judged negotiator ingroup, counterpart negotiator ingroup)","JN Ctl, CN Out","Tobit","Cluster-robust standard errors by participant id","","0.917"
"h2_negstruct_j_in_c_cont",-0.206761991565141,1.28694015070336,1.24138066477226,-0.160661699343313,0.872359856974383,-2.72916468694372,2.31564070381344,"Negotiator-side structure: judged negotiator ingroup, counterpart negotiator control label hidden (ref = judged negotiator ingroup, counterpart negotiator ingroup)","JN In, CN Ctl","Tobit","Cluster-robust standard errors by participant id","","0.872"
"h2_negstruct_j_out_c_cont",-0.133876461315211,1.38751277077482,1.19598969057853,-0.0964866516078636,0.923134074935442,-2.85340149203386,2.58564856940343,"Negotiator-side structure: judged negotiator outgroup, counterpart negotiator control label hidden (ref = judged negotiator ingroup, counterpart negotiator ingroup)","JN Out, CN Ctl","Tobit","Cluster-robust standard errors by participant id","","0.923"
"h2_negstruct_j_cont_c_cont",0.174301435428279,1.39823278083798,1.23330657339209,0.124658381506274,0.900794007057784,-2.56623481501416,2.91483768587072,"Negotiator-side structure: judged negotiator control label hidden, counterpart negotiator control label hidden (ref = judged negotiator ingroup, counterpart negotiator ingroup)","JN Ctl, CN Ctl","Tobit","Cluster-robust standard errors by participant id","","0.901"
"player_victim_outgroup",-1.78294882648515,1.4526481807565,1.26861001583688,-1.22737828064923,0.219680445808682,-4.63013926076789,1.06424160779759,"Player-victim outgroup (ref = ingroup victim)","V Out","Tobit","Cluster-robust standard errors by participant id","","0.220"
"participant_engineering",0.958892146045868,0.547697274175038,0.452884231020113,1.75077034569907,0.0799854765771366,-0.114594511337207,2.03237880342894,"Engineering participant (ref = humanities)","Eng part.","Tobit","Cluster-robust standard errors by participant id","+","0.080+"
"sex_man",0.823241492296477,0.614335828877454,0.466074950912939,1.34005124493674,0.18022868525387,-0.380856732303333,2.02733971689629,"Man (ref = woman)","Man","Tobit","Cluster-robust standard errors by participant id","","0.180"
"age",0.332909041915197,0.101528726714064,0.0717810003030006,3.27896402023015,0.0010418891876221,0.13391273755563,0.531905346274763,"Age","Age","Tobit","Cluster-robust standard errors by participant id","**","0.001**"
"economic_status",0.337805216785271,0.267440276125676,0.204733507629631,1.2631052498111,0.206551357587034,-0.186377724421054,0.861988157991597,"Socioeconomic status","SES","Tobit","Cluster-robust standard errors by participant id","","0.207"
"factor(negotiator_slot)2",0.716389704395849,0.432748748594864,0.420017608389105,1.65544026810468,0.097835223426255,-0.131797842850085,1.56457725164178,"Negotiator 2 (ref = negotiator 1)","Slot 2","Tobit","Cluster-robust standard errors by participant id","+","0.098+"
