"term","estimate","std_error","naive_se","z_value","p_value","conf_low","conf_high","label","label_short","approach","inference","p_symbol","p_value_display"
"iri_pd:victim_N1_groupIn",0.162738082746485,0.585109582334619,NA,0.278132656958294,0.780910527736199,-0.984076698629368,1.30955286412234,"Empathy: Personal distress x Victim-N1: Ingroup (ref = Control)","PD x V-N1 In","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.781"
"iri_pd:victim_N1_groupOut",0.629956132742412,0.574639920573772,NA,1.09626239004315,0.272963963283281,-0.496338111582181,1.756250377067,"Empathy: Personal distress x Victim-N1: Outgroup (ref = Control)","PD x V-N1 Out","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.273"
"iri_fs:victim_N2_groupIn",0.496633173232827,0.487043916400784,NA,1.01968869029903,0.30787612714068,-0.457972902912709,1.45123924937836,"Empathy: Fantasy scale x Victim-N2: Ingroup (ref = Control)","FS x V-N2 In","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.308"
"iri_fs:victim_N2_groupOut",0.0384378389219314,0.474933538289134,NA,0.0809330902601595,0.93549516405202,-0.892431896124772,0.969307573968635,"Empathy: Fantasy scale x Victim-N2: Outgroup (ref = Control)","FS x V-N2 Out","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.935"
"iri_ec:victim_N2_groupIn",0.696449373919491,0.706314455192404,NA,0.986033018012883,0.32411691064831,-0.687926958257621,2.0808257060966,"Empathy: Empathic concern x Victim-N2: Ingroup (ref = Control)","EC x V-N2 In","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.324"
"iri_ec:victim_N2_groupOut",-0.612839457417022,0.705198143229875,NA,-0.869031581124361,0.384829857260938,-1.99502781814758,0.769348903313534,"Empathy: Empathic concern x Victim-N2: Outgroup (ref = Control)","EC x V-N2 Out","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.385"
"iri_pt:victim_N2_groupIn",-0.257928471929833,0.6596908332835,NA,-0.390983865344978,0.695809162094871,-1.55092250516549,1.03506556130583,"Empathy: Perspective taking x Victim-N2: Ingroup (ref = Control)","PT x V-N2 In","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.696"
"iri_pt:victim_N2_groupOut",0.16271013131759,0.65748659927972,NA,0.24747292415669,0.804542243324358,-1.12596360327066,1.45138386590584,"Empathy: Perspective taking x Victim-N2: Outgroup (ref = Control)","PT x V-N2 Out","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.805"
"iri_pd:victim_N2_groupIn",-0.389023950227335,0.587757697010293,NA,-0.661878104202049,0.508049345397208,-1.54102903636751,0.762981135912839,"Empathy: Personal distress x Victim-N2: Ingroup (ref = Control)","PD x V-N2 In","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.508"
"iri_pd:victim_N2_groupOut",0.262305949492113,0.566076371932617,NA,0.46337554877372,0.64309520184427,-0.847203739495816,1.37181563848004,"Empathy: Personal distress x Victim-N2: Outgroup (ref = Control)","PD x V-N2 Out","Tobit","Tobit branch with random intercepts (1 | id_case) + (1 | id)","","0.643"
